fips,per_capita_health_cost,low_birthweight_percentage,food_environment,physical_exercise_opportunities,teen_births,limited_healthy_access,stis,primarycare_ratio,dentist_ratio,mentalhealth_ratio,otherproviders_ratio,disconnected_youth,unemployment,income_inequality,children_freelunches,single_parent_households,social_associations,water_violations,high_housing_costs,housing_overcrowding,segregation_black_white,segregation_nonwhite_white,homeownership,severe_ownership_cost,smoke_perc,obesity_perc,inactive_perc,drinking_perc,food_insecure_perc,preventable_hospitalization,mammogram_perc,flu_vaccine_perc,violent_crime,air_pollution,drive_alone_perc,long_commute_perc,traffic_volume,party,age_over_18,age_over_65,age_over_85,age_under_5,asian,avg_family_size,bachelors,black,hispanic,household_has_broadband,household_has_computer,household_has_smartphone,households_speak_asian_or_pac_isl,households_speak_limited_english,households_speak_other,households_speak_other_indo_euro_lang,households_speak_spanish,housing_mobile_homes,housing_one_unit_structures,housing_two_unit_structures,hs_grad,mean_household_income,median_age,median_household_income,median_individual_income,median_individual_income_age_25plus,native,other_single_race,pac_isl,per_capita_income,persons_per_household,pop,poverty,poverty_65_and_over,poverty_under_18,two_plus_races,uninsured,uninsured_65_and_older,uninsured_under_19,uninsured_under_6,veterans,white,white_not_hispanic
13113,9674,0.0822346736980883,8.6,0.895708802912722,0.0066400206291903,0.0650853148207231,0.00329634203769025,907.65322581,1040.9082569,540.28095238,619.99453552,0.0347152488882513,0.0347943498130453,4.05281724406384,0.253687746458303,0.198999767387765,0.00133275284542733,1,0.0987942435,0.0133555927,46.782831851,39.18367791,0.814328478353835,0.107411001583329,0.13,0.29,0.19,0.16,0.08,3584,0.46,0.49,73,11.5,0.8,0.48,55,republican,76.7,17.7,1.8,4.5,4.5,3.19,46.2,22.7,7.2,90.1,90,85.2,2.8,1.4,1,4.1,6.1,18,2.7,82,95.3,120612,43.4,90145,41364,53630,0.2,2.3,0.2,44061,2.77,112303,5.5,4.9,7.1,3.3,7.2,0.2,5.7,6.2,12.2,66.9,62.2
13115,11673,0.0906277083075399,7.4,0.583863700073715,0.0299003322259136,0.0907700838149029,0.00524520299550265,806.71900826,2448.175,796.15447154,416.7106383,0.0891708363116512,0.0430500971224647,4.89096668710403,0.742074219710002,0.392723214285714,0.00106543185846148,0,0.1406363504,0.0240637904,48.016507355,44.020779846,0.602503297505122,0.137800918477784,0.17,0.38,0.28,0.15,0.13,6249,0.42,0.47,338,10.9,0.82,0.28,162,republican,76.7,16.5,2,6,1.4,3.13,20.9,13.9,11.1,77.8,66.8,74.4,0.7,2.9,0.3,1.2,7.5,39,8,61,82.4,67957,38.3,48336,24845,32136,0.2,3.3,0,25776,2.61,97369,18.4,9.1,27.9,2.9,13.5,0.6,5.4,5,8.4,78.3,70.8
13117,10601,0.0677267373380448,9.4,0.857416344274718,0.00651700293644028,0.037859054892286,0.00175025332613931,2561.4269663,2544.2150538,1727.0948905,1834.2015504,0.0289621882542237,0.0314871916508539,3.92540797532874,0.158551914857957,0.132863629752921,6.2289717371373e-4,0,0.0914324672,0.0088721805,44.492919145,37.642567901,0.836498133695283,0.0875347633339758,0.13,0.27,0.21,0.18,0.05,3971,0.4,0.48,55,11.2,0.78,0.53,60,republican,72.1,11.7,0.9,6.1,12.9,3.3,53.1,3.5,9.5,93.8,92,90.5,8.1,3,0.9,7.5,8,16,3.7,84,93,128476,38.5,107218,44964,60050,0.3,1.7,0,43832,2.97,228383,5.7,6.4,6.7,2.3,8.8,1.7,6.4,6.8,6.2,79.2,71.7
13121,11772,0.107243873475116,6.9,0.944588254591394,0.0211251000042107,0.0805721840066219,0.00817151147996539,921.61327434,1419.072973,424.11712439,572.58124318,0.0556826987187573,0.0401890017959854,5.93769980818414,0.563178928370301,0.42240603343558,9.3237810188559e-4,1,0.1713028612,0.0183586295,72.672193216,60.174057472,0.515086896524139,0.168992929908621,0.15,0.25,0.22,0.2,0.17,4430,0.37,0.46,763,12,0.72,0.4,1683,democrat,77.8,11.4,1.2,6,7.1,3.34,52.9,44.1,7.2,85.6,83.2,86.2,3.8,2.8,1.6,5.2,5.8,48.4,0.7,51.6,92.6,113594,35.5,69673,37675,49102,0.4,1.5,0,47163,2.44,1036200,14.4,11,21.5,2.3,10.3,0.9,5.4,4,5.3,44.6,39.6
13127,11069,0.11839762611276,6.9,0.748022002863386,0.0392798690671031,0.104379243318765,0.00676578879482189,1938.2272727,1852.5869565,754.15044248,936.47252747,0.147911678637936,0.0366935985083903,5.11224731335511,0.589529190207156,0.436647068342413,0.00114912877277737,0,0.1552099533,0.0220689655,50.845827376,47.964377544,0.621872872072712,0.14876007535283,0.16,0.33,0.27,0.14,0.15,5227,0.45,0.43,479,8.9,0.82,0.18,174,republican,77.9,19.7,2.5,5.8,1.3,3.01,29.9,26.3,6.6,77.9,72.3,76.9,1,1.6,0.3,2.1,5.1,37.5,10.9,62.5,88.1,81578,41.6,52977,27542,34557,0.4,1,0.1,33848,2.43,84470,18.1,6.8,33.1,2.4,14.1,0.3,7.2,6.6,10.2,68.5,63.6
13135,10747,0.0850495024175599,8,0.869378794294449,0.0156615478490796,0.0866741852031674,0.00435963749375177,1583.9242685,1653.798574,925.92914172,1336.8602305,0.0897356055030289,0.034986659453345,3.97997796316701,0.538333023946538,0.283201746200472,7.1066872405624e-4,0,0.1510598142,0.0277603541,30.768421059,26.127854624,0.662147933666754,0.145962634299525,0.14,0.3,0.24,0.15,0.1,4126,0.37,0.44,221,11.2,0.79,0.56,311,democrat,72.8,9.6,0.8,6.7,11.6,3.59,36.9,27.8,21.2,88.6,87,89,8,8.9,2.8,6.7,17.4,33.7,1.6,66.3,87.7,91502,35.3,71026,32482,40221,0.4,8.6,0,30636,3.1,915046,10.7,7.7,15.1,3,16.5,2.5,9.8,8.2,5.8,48.5,37.3
13137,9639,0.0713492504164353,8,0.728723775005228,0.0305711196303942,0.0974462070723264,0.00334328090291023,2025.7727273,2063.0909091,2521.5555556,1418.375,0.0908045977011494,0.0368841888057777,4.55990725338979,0.593472264787006,0.210762779552716,0.00112190634325846,0,0.1258549932,0.0366879838,31.908210154,22.540751107,0.76781836130306,0.113166336768821,0.16,0.26,0.23,0.16,0.1,4854,0.46,0.46,181,9.7,0.83,0.34,42,republican,77.6,18.5,1.3,5.8,1.9,3.44,19.3,3.2,14.8,71,66.6,69.6,2.4,3.1,0.3,0.7,9.2,21.7,15.3,78.3,79.6,63866,39.7,50563,25266,32378,0.1,5.7,0.5,23046,2.8,44626,15.1,14.9,18.4,2.4,15.9,1.4,12.7,12.4,8.2,86.1,77.3
13139,10123,0.0743843189814039,8.3,0.71239509360878,0.0333236936355749,0.100144538812582,0.0034514761582261,1845.6944444,2173.6344086,1210.4670659,680.63299663,0.0479483633010604,0.0316632246571856,4.12844103955134,0.611114248602248,0.303400019710259,8.076855544686e-4,0,0.128370123,0.053188929,36.825078894,32.732363213,0.68622421047692,0.11965811965812,0.16,0.33,0.26,0.16,0.08,4780,0.45,0.46,316,10.5,0.81,0.33,159,republican,74.4,14.6,1.3,6.6,1.8,3.53,24.5,7.2,28.4,85.8,78.1,81.8,1.3,5.8,0.2,1.9,20.6,30.5,9.3,69.5,79.1,86265,36.7,62984,28161,35494,0.2,3,0,29680,3.06,198667,13.9,7.3,21.8,2.1,17.3,0.7,10.1,8,7.1,85.6,60.8
13151,10369,0.101513900357831,7.3,0.774354900403095,0.0181514367157039,0.0952484557232667,0.00582340254989748,2110.4018692,2773.7349398,697.63636364,959.25,0.0576909853537785,0.0414254719218573,3.62678726843218,0.522519520091411,0.354756049323267,6.4212423554002e-4,0,0.1445455197,0.0128873239,34.004849931,32.879039511,0.71562864031642,0.137683365624135,0.16,0.36,0.27,0.14,0.14,4236,0.42,0.42,176,11.7,0.81,0.54,201,democrat,74,11.3,1.1,5.8,3.3,3.39,28.5,43.9,6.8,88.4,87,87.5,1.9,1.1,0.6,3.5,6.2,29.6,2.9,70.4,91.2,85540,36.9,71288,33610,42363,0.1,1.3,0,29889,2.95,225356,8.5,6.5,12.5,3.5,10.3,1,6.5,6.8,9.8,47.9,43.4
13153,11129,0.0866396761133603,6.9,0.766640457469621,0.0269373127313319,0.116734589678342,0.0068152646290372,1871.695122,1873.1204819,706.67727273,925.41071429,0.0782232704402516,0.0399304813596023,4.42604166666667,0.58880976602238,0.363641082876943,7.1019488008131e-4,0,0.1225360121,0.0302638863,21.993075462,18.353455451,0.643963951127418,0.122184901712461,0.17,0.4,0.28,0.15,0.15,5957,0.48,0.39,362,11.3,0.86,0.26,127,republican,74.3,12.4,1.4,6.7,3.3,3.14,28.3,31,6.5,83.6,78.9,82.6,2.4,1.7,0.5,2.4,6.2,36.4,7,63.6,91.6,77239,35.4,61723,31668,39856,0.5,1.2,0,29462,2.66,153507,13.9,10.7,19.4,3.6,11.6,0.3,7.1,4.6,15.6,60.4,56.3
