fips,per_capita_health_cost,low_birthweight_percentage,food_environment,physical_exercise_opportunities,teen_births,limited_healthy_access,stis,primarycare_ratio,dentist_ratio,mentalhealth_ratio,otherproviders_ratio,disconnected_youth,unemployment,income_inequality,children_freelunches,single_parent_households,social_associations,water_violations,high_housing_costs,housing_overcrowding,segregation_black_white,segregation_nonwhite_white,homeownership,severe_ownership_cost,smoke_perc,obesity_perc,inactive_perc,drinking_perc,food_insecure_perc,preventable_hospitalization,mammogram_perc,flu_vaccine_perc,violent_crime,air_pollution,drive_alone_perc,long_commute_perc,traffic_volume,party,age_over_18,age_over_65,age_over_85,age_under_5,asian,avg_family_size,bachelors,black,hispanic,household_has_broadband,household_has_computer,household_has_smartphone,households_speak_asian_or_pac_isl,households_speak_limited_english,households_speak_other,households_speak_other_indo_euro_lang,households_speak_spanish,housing_mobile_homes,housing_one_unit_structures,housing_two_unit_structures,hs_grad,mean_household_income,median_age,median_household_income,median_individual_income,median_individual_income_age_25plus,native,other_single_race,pac_isl,per_capita_income,persons_per_household,pop,poverty,poverty_65_and_over,poverty_under_18,two_plus_races,uninsured,uninsured_65_and_older,uninsured_under_19,uninsured_under_6,veterans,white,white_not_hispanic
01005,11024,0.114745586708204,5.6,0.531667698583239,0.0408708153624974,0.107396665731872,0.00716264345073209,3158.75,2764.5555556,12440.5,1913.9230769,0.133393017009848,0.051713842111549,5.68141001855288,0.632923020393166,0.566034260453122,7.5187969924812e-4,0,0.1344594595,0.0168859649,25.039132349,23.449712509,0.613977792292619,0.140595463137996,0.22,0.42,0.24,0.13,0.22,6209,0.45,0.37,414,11.5,0.83,0.32,102,republican,79.1,18.6,1.6,5.3,0.5,3.01,11.6,47.6,4.4,60.5,51.9,64.2,0.6,1.6,0,1.1,5.2,39.1,26.1,60.9,73.2,47068,40.4,32525,17963,27434,0.3,3.6,0,18473,2.41,25361,30.7,16.8,50.1,1.2,11.3,0.3,3.3,3.4,6.6,46.8,45.8
19113,8835,0.0676726579801205,8.3,0.917969378769659,0.0161496386792829,0.046070974114929,0.0058585993797827,1660.1111111,1385.9447853,495.41447368,1129.545,0.0344974446337308,0.0277182825206653,4.01569308278867,0.361669697293828,0.310110400929692,0.0010842647747808,1,0.0874842551,0.0117606954,47.969502308,33.906871663,0.743950916966384,0.0922499208252273,0.16,0.34,0.23,0.21,0.11,4201,0.57,0.6,226,9.7,0.85,0.15,2692,democrat,76.5,15.5,2.2,6.3,2.3,3.02,33.1,5.5,3.2,84.8,80.8,80.4,1.3,1.6,0.8,2.2,2.5,26.2,3.9,73.8,94.5,83373,37.7,64903,34626,43079,0.2,0.8,0.1,34545,2.41,223861,10.2,6.2,13.3,3.1,3.7,0.3,2.2,2.2,8.1,88,85.8
22113,10632,0.0981739287651419,8.1,0.596458559630338,0.0387516639550362,0.0236652196106829,0.00389117999201809,3165.0526316,3739.375,2492.9166667,2301.1538462,0.100777604976672,0.0527359894197388,4.97647350173353,0.398342181242433,0.338098360655738,5.1549820407077e-4,0,0.0837975859,0.046907335,50.448483373,49.211666529,0.775055473372781,0.0839792014127342,0.2,0.39,0.34,0.2,0.13,5217,0.41,0.4,387,9.4,0.81,0.4,66,republican,74.4,15,2.1,6.8,2,3.21,14.2,14.5,3.5,80,65.6,75.3,2.1,2.7,0.1,20.8,2.7,22.8,21.3,77.2,77.9,66097,38,51945,26353,39021,0.5,0.4,0.1,25342,2.69,59865,17.6,14.7,21.3,1.1,9.2,0.6,2.2,2.1,7.4,81.4,78.3
22089,11473,0.0969818020417222,7,0.810515346722243,0.0219403223232807,0.182590661345207,0.00561148078636562,2930.5,2203.2916667,734.43055556,2783.1052632,0.126709863210943,0.0439075292984428,4.61653107027634,0.518510592766959,0.408493971277168,8.5309674117044e-4,0,0.1093587995,0.0201775626,50.727078122,47.786069899,0.804445155100736,0.107572346384054,0.19,0.37,0.25,0.21,0.11,4636,0.44,0.4,333,9,0.88,0.46,114,republican,75.4,13,1.3,6.2,1,3.13,25.3,26.6,6.1,82.1,76.7,81.2,0.8,0.6,0.2,3,4.9,19.3,7.6,80.7,90,89045,37.9,69019,36001,48440,0.4,1.7,0,32935,2.72,52773,11.2,10.8,15.1,1,7.2,0.2,1.8,0.1,6.9,69.2,65.1
55087,7945,0.0693499622071051,8.9,0.893584991086335,0.0133907806800656,0.024437769754096,0.00345589302318082,1224.0723684,1171.03125,475.54568528,879.64788732,0.0345228040540541,0.0279654147527695,3.82417360924483,0.258811526094484,0.251658507571945,9.4056186478482e-4,0,0.0925468032,0.0155909825,58.8839794,38.921685357,0.705745267111739,0.0878312480842645,0.15,0.33,0.17,0.28,0.08,2263,0.55,0.53,153,8.7,0.85,0.19,239,republican,76.3,14.3,1.8,6.3,3.5,3.05,29.7,1.5,4.3,86.4,81.6,78.8,1.9,1,0.4,1.6,3.4,28.9,1,71.1,94.1,82097,38.3,65572,33629,42947,1.6,1.7,0,33221,2.48,185700,7.8,6.1,11,2,4.5,0.1,3.2,2.6,7,89.8,87.5
40119,10774,0.0658509096763806,6.2,0.716716224951519,0.0143764002987304,0.101009355195863,0.00604351823475329,1989.6341463,1709.1666667,374.61187215,1823.1111111,0.0386459802538787,0.029328165374677,6.50593471810089,0.47606622278207694,0.291663988688219,0.00126264174072939,1,0.2108878585,0.0341455329,34.369942867,20.011101983,0.508938822371658,0.20848429420662,0.2,0.32,0.23,0.16,0.2,4088,0.42,0.56,280,9.5,0.78,0.18,67,republican,80.9,12.3,1.5,5.3,4.3,3.01,37.4,4,4.7,80.2,77.5,81.5,2.6,1.8,1.7,2,2.9,48.3,9.2,51.7,92.2,61957,27.3,41603,21193,34481,4.2,0.6,0.1,24057,2.39,81815,26.8,9.5,21.7,6.2,11.7,0.3,8.8,10.4,5.4,80.6,76.9
12127,10997,0.0864284872066973,6.8,0.887855266855778,0.0227472280644437,0.132672411291709,0.00394659657095335,1455.9243243,2097.8467433,728.10904255,1164.9744681,0.0658400133600534,0.037373884840139,4.32945827646256,0.646721519791601,0.399772038108346,7.4996472938153e-4,1,0.167253741,0.0136622668,51.345881253,39.286442417,0.701129187501467,0.161863134787349,0.18,0.3,0.29,0.16,0.14,4633,0.45,0.42,428,7.6,0.81,0.35,256,republican,82.3,24.2,3.2,4.7,1.8,3.06,23.7,10.9,13.9,80.2,77.8,78.8,1.3,1.8,0.6,3.3,10.5,29.7,8.7,70.3,90.5,67025,46.6,49494,26792,32295,0.3,3.4,0,28517,2.43,536487,14.3,9.2,20.4,2.1,11.5,0.5,6.4,4.5,11.4,81.4,71.7
53041,9312,0.0650040225261464,7.4,0.535908819826387,0.0316577129700691,0.0839848925916109,0.00360613810741688,2234.2857143,1530.8461538,275.44636678,995.05,0.0883947939262473,0.0628703484237971,4.26726699684827,0.563894356955381,0.317047943538574,9.9744245524296e-4,1,0.1491921623,0.027357689,61.896241121,18.299855665,0.697111889498381,0.135058259081563,0.16,0.35,0.24,0.15,0.14,3203,0.33,0.35,193,6.8,0.8,0.37,157,republican,78.4,20.7,2.3,5.9,1.3,3.03,17.7,0.5,10.2,80.1,76.3,74,0.9,1.1,0.1,1.3,6,29.4,18.7,70.6,87.5,67876,43.1,53484,26381,35759,0.7,2.1,0.2,27127,2.52,78145,13.1,6.7,15.3,5.3,7.3,0.5,4,1.6,12,89.9,83.4
53045,8899,0.0565868933124581,8,0.634837476729435,0.0322936792713221,0.0330377307731594,0.00350023544184586,3747.6470588,2729.4583333,564.71551724,2519.5,0.0622669649515287,0.0630715992419873,4.32042419818814,0.623679154658982,0.390219643597182,6.2784492230419e-4,1,0.1342069589,0.0262747718,43.499055949,26.132118852,0.766220522625876,0.1343257053988,0.16,0.36,0.23,0.18,0.13,2944,0.39,0.42,220,5.9,0.76,0.49,84,republican,80.5,22.5,2.1,5.3,1.2,3.09,17.6,1.3,10,84,79.5,74.7,1.3,2.1,0.5,1,6,22.6,20.3,77.4,88.6,72026,45.6,57634,28386,35107,2.5,5.3,0.4,28862,2.58,63804,14,6.7,23.1,5.8,6.9,0.3,2.7,1.6,13.5,83.5,80.5
39153,10077,0.0917632616445148,7.2,0.94117364765468,0.0214954458801101,0.0770623002080176,0.00586628925332762,1055.0253411,1579.9358601,361.51967979,918.50508475,0.0530505898530795,0.0466686613696222,4.82876742447562,0.278371105411428,0.36680195231181,0.00111782834590967,1,0.1285019522,0.0072785452,58.457466459,51.397331072,0.657142857142857,0.125012584545263,0.18,0.3,0.27,0.18,0.15,4960,0.41,0.51,329,12.1,0.85,0.29,256,democrat,78.9,17.5,2.5,5.6,3.4,3.02,32.5,14.5,2.1,82.5,76.5,76.6,1.4,1.4,0.8,3.3,1.7,34.2,0.8,65.8,91.7,78984,41,57181,30799,40180,0.2,0.4,0,33606,2.37,541334,13.2,7.1,19.2,2.9,5.7,0.3,3.3,3,7.4,78.6,77
